"id","UniProt","Name","Family"
16905,"Q9Y2Q0","Phospholipid-transporting ATPase IA","Transporter"
16906,"O15551","Claudin-3","Other"
16907,"O00501","Claudin-5","Other"
16908,"P56747","Claudin-6","Other"
16909,"P18847","Cyclic AMP-dependent transcription factor ATF-3","Transcription Factor"
16910,"P53675","Clathrin heavy chain 2","Other"
16911,"P30622","CAP-Gly domain-containing linker protein 1","Other"
16912,"Q9UDT6","CAP-Gly domain-containing linker protein 2","Other"
16913,"Q96DZ5","CAP-Gly domain-containing linker protein 3","Other"
16914,"Q9NT62","Ubiquitin-like-conjugating enzyme ATG3","Other"
16915,"P49761","Dual specificity protein kinase CLK3","Kinase"
16916,"Q8TDQ1","CMRF35-like molecule 1","Other"
16917,"Q86TL0","Cysteine protease ATG4D","Enzyme"
16918,"Q9H6B4","CXADR-like membrane protein","Other"
16919,"Q674R7","Autophagy-related protein 9B","Other"
16920,"Q7Z3C6","Autophagy-related protein 9A","Other"
16921,"Q9UII2","ATPase inhibitor, mitochondrial","Enzyme"
16922,"Q96KA5","Cleft lip and palate transmembrane protein 1-like protein","Other"
16923,"Q6ZMM2","ADAMTS-like protein 5","Other"
16924,"Q92989","Polyribonucleotide 5'-hydroxyl-kinase Clp1","Enzyme"
16925,"Q8WXF7","Atlastin-1","Other"
16926,"Q8NHH9","Atlastin-2","Other"
16927,"Q9H078","Caseinolytic peptidase B protein homolog","Enzyme"
16928,"Q92858","Protein atonal homolog 1","Transcription Factor"
16929,"Q9Y6H3","Mitochondrial inner membrane protease ATP23 homolog","Enzyme"
16930,"O75947","ATP synthase subunit d, mitochondrial","Enzyme"
16931,"Q04656","Copper-transporting ATPase 1","Enzyme"
16932,"O76031","ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial","Enzyme"
16933,"Q92624","Amyloid protein-binding protein 2","Other"
16934,"P02655","Apolipoprotein C-II","Other"
16935,"Q9UJX5","Anaphase-promoting complex subunit 4","Enzyme"
16936,"Q92870","Amyloid-beta A4 precursor protein-binding family B member 2","Other"
16937,"P02649","Apolipoprotein E","Other"
16938,"Q8IXF9","Aquaporin-12A","Other"
16939,"P84085","ADP-ribosylation factor 5","Enzyme"
16940,"Q8IW93","Rho guanine nucleotide exchange factor 19","Other"
16941,"Q96DR7","Rho guanine nucleotide exchange factor 26","Other"
16942,"Q9H0F7","ADP-ribosylation factor-like protein 6","Enzyme"
16943,"Q12774","Rho guanine nucleotide exchange factor 5","Other"
16944,"O95154","Aflatoxin B1 aldehyde reductase member 3","Enzyme"
16945,"Q96B67","Arrestin domain-containing protein 3","Other"
16946,"Q99828","Calcium and integrin-binding protein 1","Other"
16947,"Q7Z6K5","Arpin","Other"
16948,"Q9Y294","Histone chaperone ASF1A","Other"
16949,"P07307","Asialoglycoprotein receptor 2","Other"
16950,"P42127","Agouti-signaling protein","Other"
16951,"Q9UBL3","Set1/Ash2 histone methyltransferase complex subunit ASH2","Enzyme"
16952,"Q9UHC3","Acid-sensing ion channel 3","Ion Channel"
16953,"Q9NWL6","Asparagine synthetase domain-containing protein 1","Enzyme"
16954,"Q8IZT6","Abnormal spindle-like microcephaly-associated protein","Other"
16955,"P0C842","Putative uncharacterized protein encoded by LINC00614","Other"
16956,"Q5SWW7","Uncharacterized protein C10orf55","Other"
16957,"Q8NBR9","Uncharacterized protein C11orf72","Other"
16958,"Q86VG3","Uncharacterized protein C11orf74","Other"
16959,"A6NJI1","Uncharacterized protein C11orf86","Other"
16960,"Q6NUJ2","Uncharacterized protein C11orf87","Other"
16961,"C9JLR9","Uncharacterized protein C11orf95","Transcription Factor"
16962,"Q7Z7L8","Uncharacterized protein C11orf96","Other"
16963,"Q7Z7J9","Calcium/calmodulin-dependent protein kinase II inhibitor 1","Enzyme"
16964,"Q96S95","Calcium/calmodulin-dependent protein kinase II inhibitor 2","Enzyme"
16965,"Q96SZ6","CDK5 regulatory subunit-associated protein 1","Other"
16966,"Q96SN8","CDK5 regulatory subunit-associated protein 2","Other"
16967,"Q14008","Cytoskeleton-associated protein 5","Other"
16968,"Q8TAZ6","CKLF-like MARVEL transmembrane domain-containing protein 2","Other"
16969,"Q96FZ5","CKLF-like MARVEL transmembrane domain-containing protein 7","Other"
16970,"Q8IZV2","CKLF-like MARVEL transmembrane domain-containing protein 8","Other"
16971,"Q9UBR5","Chemokine-like factor","Other"
16972,"Q9NQ89","Protein C12orf4","Other"
16973,"Q96LM1","Putative uncharacterized protein encoded by LINC00615","Other"
16974,"Q86WS4","Uncharacterized protein C12orf40","Other"
16975,"Q96LP6","Uncharacterized protein C12orf42","Other"
16976,"Q8N5I9","Uncharacterized protein C12orf45","Other"
16977,"Q6X4T0","Uncharacterized protein C12orf54","Other"
16978,"Q8IXR9","Uncharacterized protein C12orf56","Other"
16979,"Q9H3J6","Probable peptide chain release factor C12orf65, mitochondrial","Enzyme"
16980,"Q96MD2","KICSTOR complex protein C12orf66","Other"
16981,"Q32Q52","Uncharacterized protein C12orf74","Other"
16982,"Q8N812","Uncharacterized protein C12orf76","Other"
16983,"G3V211","Uncharacterized protein encoded by LINC01619","Other"
16984,"Q5QGZ9","C-type lectin domain family 12 member A","Other"
16985,"Q2HXU8","C-type lectin domain family 12 member B","Other"
16986,"Q8NCF0","C-type lectin domain family 18 member C","Other"
16987,"Q6UXS0","C-type lectin domain family 19 member A","Other"
16988,"O75122","CLIP-associating protein 2","Other"
16989,"Q8N2M8","CLK4-associating serine/arginine rich protein","Other"
16990,"P28329","Choline O-acetyltransferase","Enzyme"
16991,"Q86T13","C-type lectin domain family 14 member A","Other"
16992,"Q8NC01","C-type lectin domain family 1 member A","Other"
16993,"Q9UHP7","C-type lectin domain family 2 member D","Other"
16994,"P0C7M8","C-type lectin domain family 2 member L","Other"
16995,"Q8WXI8","C-type lectin domain family 4 member D","Other"
16996,"Q9ULY5","C-type lectin domain family 4 member E","Other"
16997,"Q6UXB4","C-type lectin domain family 4 member G","Other"
16998,"Q9NY25","C-type lectin domain family 5 member A","Other"
16999,"Q9BXN2","C-type lectin domain family 7 member A","Other"
17000,"A8K7I4","Calcium-activated chloride channel regulator 1","Ion Channel"
17001,"Q9Y284","Protein Asterix","Other"
17002,"Q6HA08","Astacin-like metalloendopeptidase","Enzyme"
17003,"P09497","Clathrin light chain B","Other"
17004,"Q96CP6","Protein Aster-A","Other"
17005,"Q96S66","Chloride channel CLIC-like protein 1","Ion Channel"
17006,"P51800","Chloride channel protein ClC-Ka","Ion Channel"
17007,"Q9C0F0","Putative Polycomb group protein ASXL3","Epigenetic"
17008,"P54709","Sodium/potassium-transporting ATPase subunit beta-3","Transporter"
17009,"O60423","Phospholipid-transporting ATPase IK","Transporter"
17010,"O75508","Claudin-11","Other"
17011,"P56749","Claudin-12","Other"
17012,"O95500","Claudin-14","Other"
17013,"Q5TC04","Putative uncharacterized protein ATP1A1-AS1","Other"
17014,"Q9ULK2","Ataxin-7-like protein 1","Other"
17015,"P56880","Claudin-20","Other"
17016,"Q5SQI0","Alpha-tubulin N-acetyltransferase 1","Epigenetic"
17017,"O75143","Autophagy-related protein 13","Other"
17018,"Q5T9A4","ATPase family AAA domain-containing protein 3B","Enzyme"
17019,"Q5T2N8","ATPase family AAA domain-containing protein 3C","Enzyme"
17020,"P18848","Cyclic AMP-dependent transcription factor ATF-4","Transcription Factor"
17021,"P18850","Cyclic AMP-dependent transcription factor ATF-6 alpha","Transcription Factor"
17022,"P17544","Cyclic AMP-dependent transcription factor ATF-7","Transcription Factor"
17023,"O14967","Calmegin","Other"
17024,"O95833","Chloride intracellular channel protein 3","Ion Channel"
17025,"Q9Y696","Chloride intracellular channel protein 4","Ion Channel"
17026,"Q96NY7","Chloride intracellular channel protein 6","Ion Channel"
17027,"P49759","Dual specificity protein kinase CLK1","Kinase"
17028,"P49760","Dual specificity protein kinase CLK2","Kinase"
17029,"Q9HAZ1","Dual specificity protein kinase CLK4","Kinase"
17030,"Q496F6","CMRF35-like molecule 2","Other"
17031,"Q08708","CMRF35-like molecule 6","Other"
17032,"Q9UGN4","CMRF35-like molecule 8","Other"
17033,"Q96JQ2","Calmin","Other"
17034,"Q8N6G6","ADAMTS-like protein 1","Other"
17035,"Q6UY14","ADAMTS-like protein 4","Other"
17036,"Q8N100","Protein atonal homolog 7","Transcription Factor"
17037,"Q6IWH7","Anoctamin-7","Other"
17038,"Q9HCE9","Anoctamin-8","Other"
17039,"O60678","Protein arginine N-methyltransferase 3","Epigenetic"
17040,"Q99767","Amyloid-beta A4 precursor protein-binding family A member 2","Other"
17041,"O96018","Amyloid-beta A4 precursor protein-binding family A member 3","Other"
17042,"P02652","Apolipoprotein A-II","Other"
17043,"Q7Z2E3","Aprataxin","Other"
17044,"Q13520","Aquaporin-6","Other"
17045,"Q9Y3E7","Charged multivesicular body protein 3","Other"
17046,"Q9P2E5","Chondroitin sulfate glucuronyltransferase","Enzyme"
17047,"Q9NRG0","Chromatin accessibility complex protein 1","Other"
17048,"Q9NR48","Histone-lysine N-methyltransferase ASH1L","Epigenetic"
17049,"P78348","Acid-sensing ion channel 1","Ion Channel"
17050,"Q16515","Acid-sensing ion channel 2","Ion Channel"
17051,"P17405","Sphingomyelin phosphodiesterase","Enzyme"
17052,"Q86X95","Corepressor interacting with RBPJ 1","Other"
17053,"Q14011","Cold-inducible RNA-binding protein","Other"
17054,"Q9NZ45","CDGSH iron-sulfur domain-containing protein 1","Other"
17055,"P08243","Asparagine synthetase [glutamine-hydrolyzing]","Enzyme"
17056,"Q9NSE2","Cytokine-inducible SH2-containing protein","Other"
17057,"O75390","Citrate synthase, mitochondrial","Enzyme"
17058,"Q5U4P2","Aspartate beta-hydroxylase domain-containing protein 1","Enzyme"
17059,"Q6ICH7","Aspartate beta-hydroxylase domain-containing protein 2","Enzyme"
17060,"P26436","Acrosomal protein SP-10","Other"
17061,"Q9BXN1","Asporin","Other"
17062,"Q9ULV3","Cip1-interacting zinc finger protein","Other"
17063,"Q8IYJ2","Uncharacterized protein C10orf67, mitochondrial","Other"
17064,"Q8WW14","Uncharacterized protein C10orf82","Other"
17065,"Q96M02","(E2-independent) E3 ubiquitin-conjugating enzyme FATS","Other"
17066,"Q8TEF2","Uncharacterized protein C10orf105","Other"
17067,"Q8N326","Uncharacterized protein C10orf111","Other"
17068,"Q5SQS8","Uncharacterized protein C10orf120","Other"
17069,"Q8N4M7","Putative uncharacterized protein C10orf126","Other"
17070,"B7Z368","Uncharacterized protein C10orf142","Other"
17071,"A0A1B0GUT2","Uncharacterized protein C10orf143","Other"
17072,"Q96F05","Uncharacterized protein C11orf24","Other"
17073,"Q9H6J7","UPF0705 protein C11orf49","Other"
17074,"Q8NCR3","Uncharacterized protein C11orf65","Other"
17075,"P00966","Argininosuccinate synthase","Enzyme"
17076,"C9JXX5","Uncharacterized protein C11orf94","Other"
17077,"E9PRG8","Uncharacterized protein C11orf98","Other"
17078,"Q8WWK9","Cytoskeleton-associated protein 2","Other"
17079,"Q07065","Cytoskeleton-associated protein 4","Other"
17080,"P0DPE3","Uncharacterized protein C12orf81","Other"
17081,"Q2KHT3","Protein CLEC16A","Other"
17082,"Q6ZS10","C-type lectin domain family 17, member A","Other"
17083,"Q6ZU45","Putative C-type lectin domain family 20 member A","Other"
17084,"P16619","C-C motif chemokine 3-like 1","Other"
17085,"Q9P126","C-type lectin domain family 1 member B","Other"
17086,"O75596","C-type lectin domain family 3 member A","Other"
17087,"Q9UMR7","C-type lectin domain family 4 member A","Other"
17088,"Q8WTT0","C-type lectin domain family 4 member C","Other"
17089,"Q9H2X3","C-type lectin domain family 4 member M","Other"
17090,"Q6UXN8","C-type lectin domain family 9 member A","Other"
17091,"Q9Y6N3","Calcium-activated chloride channel regulator family member 3","Ion Channel"
17092,"Q14CN2","Calcium-activated chloride channel regulator 4","Ion Channel"
17093,"Q8WWH4","Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1","Other"
17094,"O75129","Astrotactin-2","Other"
17095,"Q9P241","Probable phospholipid-transporting ATPase VD","Transporter"
17096,"P98196","Probable phospholipid-transporting ATPase IH","Transporter"
17097,"L0R819","ASNSD1 upstream open reading frame protein","Other"
17098,"Q9HD20","Manganese-transporting ATPase 13A1","Transporter"
17099,"Q4VNC1","Probable cation-transporting ATPase 13A4","Transporter"
17100,"Q9UN42","Protein ATP1B4","Transporter"
17101,"P13637","Sodium/potassium-transporting ATPase subunit alpha-3","Transporter"
17102,"P05496","ATP synthase F(0) complex subunit C1, mitochondrial","Enzyme"
17103,"P05026","Sodium/potassium-transporting ATPase subunit beta-1","Transporter"
17104,"P0DMR3","Putative protein ATXN8OS","Other"
17105,"Q01814","Plasma membrane calcium-transporting ATPase 2","Transporter"
17106,"Q9Y5I7","Claudin-16","Other"
17107,"Q96QE3","ATPase family AAA domain-containing protein 5","Enzyme"
17108,"O75185","Calcium-transporting ATPase type 2C member 2","Transporter"
17109,"P57739","Claudin-2","Other"
17110,"H7C241","Claudin-34","Other"
17111,"P18846","Cyclic AMP-dependent transcription factor ATF-1","Transcription Factor"
17112,"Q86WG3","Caytaxin","Other"
17113,"P56748","Claudin-8","Other"
17114,"Q9ULI0","ATPase family AAA domain-containing protein 2B","Epigenetic"
17115,"Q9NVI7","ATPase family AAA domain-containing protein 3A","Enzyme"
17116,"O94817","Ubiquitin-like protein ATG12","Other"
17117,"O95260","Arginyl-tRNA--protein transferase 1","Enzyme"
17118,"Q13795","ADP-ribosylation factor-related protein 1","Enzyme"
17119,"Q9NZN5","Rho guanine nucleotide exchange factor 12","Other"
17120,"O95376","E3 ubiquitin-protein ligase ARIH2","Enzyme"
17121,"Q99856","AT-rich interactive domain-containing protein 3A","Transcription Factor"
17122,"P29374","AT-rich interactive domain-containing protein 4A","TF-Epigenetic"
17123,"Q8N8L6","ADP-ribosylation factor-like protein 10","Enzyme"
17124,"Q8IZ52","Chondroitin sulfate synthase 2","Enzyme"
17125,"O43916","Carbohydrate sulfotransferase 1","Enzyme"
17126,"Q9GZX3","Carbohydrate sulfotransferase 6","Enzyme"
17127,"Q9NPF2","Carbohydrate sulfotransferase 11","Enzyme"
17128,"Q86WX3","Active regulator of SIRT1","Other"
17129,"Q9NZ32","Actin-related protein 10","Other"
17130,"P56211","cAMP-regulated phosphoprotein 19","Other"
17131,"P61158","Actin-related protein 3","Other"
17132,"Q5W0N0","Uncharacterized protein C9orf57","Other"
17133,"O15144","Actin-related protein 2/3 complex subunit 2","Other"
17134,"A6NEK1","Arrestin domain-containing protein 5","Other"
17135,"P49407","Beta-arrestin-1","Other"
17136,"Q8N365","Circadian-associated transcriptional repressor","Other"
17137,"P32121","Beta-arrestin-2","Other"
17138,"P15848","Arylsulfatase B","Enzyme"
17139,"P36575","Arrestin-C","Other"
17140,"Q96RK0","Protein capicua homolog","Transcription Factor"
17141,"P51689","Arylsulfatase D","Enzyme"
17142,"P54793","Arylsulfatase F","Enzyme"
17143,"Q96EG1","Arylsulfatase G","Enzyme"
17144,"Q5FYB0","Arylsulfatase J","Enzyme"
17145,"Q6UWY0","Arylsulfatase K","Enzyme"
17146,"O43734","Adapter protein CIKS","Other"
17147,"Q8IUL8","Cartilage intermediate layer protein 2","Other"
17148,"P0C7U1","Putative inactive neutral ceramidase B","Enzyme"
17149,"Q9NR71","Neutral ceramidase","Enzyme"
17150,"Q8WWX0","Ankyrin repeat and SOCS box protein 5","Other"
17151,"Q9NWX5","Ankyrin repeat and SOCS box protein 6","Other"
17152,"Q495Z4","Putative uncharacterized protein ASB16-AS1","Other"
17153,"Q8N9N2","Activating signal cointegrator 1 complex subunit 1","Other"
17154,"Q8WXH4","Ankyrin repeat and SOCS box protein 11","Other"
17155,"Q99929","Achaete-scute homolog 2","Transcription Factor"
17156,"Q7RTU5","Achaete-scute homolog 5","Other"
17157,"Q8WXK1","Ankyrin repeat and SOCS box protein 15","Other"
17158,"Q96NS5","Ankyrin repeat and SOCS box protein 16","Other"
17159,"Q8WXJ9","Ankyrin repeat and SOCS box protein 17","Other"
17160,"Q6ZVZ8","Ankyrin repeat and SOCS box protein 18","Other"
17161,"Q9NVP2","Histone chaperone ASF1B","Other"
17162,"Q9BVC5","Ashwin","Other"
17163,"Q92484","Acid sphingomyelinase-like phosphodiesterase 3a","Enzyme"
17164,"Q92485","Acid sphingomyelinase-like phosphodiesterase 3b","Enzyme"
17165,"O95671","N-acetylserotonin O-methyltransferase-like protein","Enzyme"
17166,"P46597","Acetylserotonin O-methyltransferase","Enzyme"
17167,"O43681","ATPase ASNA1","Enzyme"
17168,"P0C7P0","CDGSH iron-sulfur domain-containing protein 3, mitochondrial","Other"
17169,"Q9BZE9","Tether containing UBX domain for GLUT4","Other"
17170,"A6ND91","Putative L-aspartate dehydrogenase","Enzyme"
17171,"P20933","N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase","Enzyme"
17172,"Q96KQ4","Apoptosis-stimulating of p53 protein 1","Other"
17173,"Q13625","Apoptosis-stimulating of p53 protein 2","Other"
17174,"Q12797","Aspartyl/asparaginyl beta-hydroxylase","Enzyme"
17175,"Q99966","Cbp/p300-interacting transactivator 1","Other"
17176,"Q99967","Cbp/p300-interacting transactivator 2","Other"
17177,"Q96RK1","Cbp/p300-interacting transactivator 4","Other"
17178,"Q5T742","Uncharacterized protein C10orf25","Other"
17179,"A4QN01","Putative uncharacterized protein encoded by LINC01553","Other"
17180,"Q8N6V4","UPF0728 protein C10orf53","Other"
17181,"Q5T681","Uncharacterized protein C10orf62","Other"
17182,"Q8N1V8","Uncharacterized protein encoded by LINC01561","Other"
17183,"Q5T1B1","Uncharacterized protein C10orf91","Other"
17184,"Q9H7T3","Uncharacterized protein C10orf95","Other"
17185,"Q5VZT2","Putative uncharacterized protein C10orf113","Other"
17186,"Q9H5F2","UPF0686 protein C11orf1","Other"
17187,"Q9NQ32","Uncharacterized protein C11orf16","Other"
17188,"Q9P2W6","Uncharacterized protein C11orf21","Other"
17189,"Q96N53","Putative uncharacterized protein encoded by LINC00167","Other"
17190,"Q8WZ69","Putative uncharacterized protein C11orf40","Other"
17191,"Q8N5U0","Uncharacterized protein C11orf42","Other"
17192,"Q8N8P7","Uncharacterized protein C11orf44","Other"
17193,"Q8TAV5","Putative uncharacterized protein C11orf45","Other"
17194,"Q96A22","Uncharacterized protein C11orf52","Other"
17195,"Q8IXP5","Uncharacterized protein C11orf53","Other"
17196,"Q9H0W9","Ester hydrolase C11orf54","Enzyme"
17197,"Q9H3H3","UPF0696 protein C11orf68","Other"
17198,"Q6IPW1","Uncharacterized protein C11orf71","Other"
17199,"Q6PI97","UPF0722 protein C11orf88","Other"
17200,"Q3C1V1","Uncharacterized protein C11orf91","Other"
17201,"A0A1B0GVM6","Uncharacterized protein C11orf97","Other"
17202,"Q96JB5","CDK5 regulatory subunit-associated protein 3","Other"
17203,"Q8IZ96","CKLF-like MARVEL transmembrane domain-containing protein 1","Other"
17204,"Q96MX0","CKLF-like MARVEL transmembrane domain-containing protein 3","Other"
17205,"Q8IZR5","CKLF-like MARVEL transmembrane domain-containing protein 4","Other"
17206,"Q96DZ9","CKLF-like MARVEL transmembrane domain-containing protein 5","Other"
17207,"Q9NX76","CKLF-like MARVEL transmembrane domain-containing protein 6","Other"
17208,"Q8N999","Uncharacterized protein C12orf29","Other"
17209,"Q8N6U2","Putative uncharacterized protein encoded by LINC00612","Other"
17210,"Q495D7","Putative uncharacterized protein encoded by LINC01559","Other"
17211,"Q9H741","UPF0454 protein C12orf49","Other"
17212,"Q8NA57","Uncharacterized protein C12orf50","Other"
17213,"Q5U649","Uncharacterized protein C12orf60","Other"
17214,"Q8N7H1","Putative uncharacterized protein encoded by LINC01465","Other"
17215,"Q96M19","Putative transmembrane protein encoded by LINC00477","Other"
17216,"A8MTZ7","Uncharacterized protein C12orf71","Other"
17217,"Q69YU5","Uncharacterized protein C12orf73","Other"
17218,"C9JDV5","Putative uncharacterized protein C12orf77","Other"
17219,"A5D8T8","C-type lectin domain family 18 member A","Other"
17220,"Q6UXF7","C-type lectin domain family 18 member B","Other"
17221,"Q7Z460","CLIP-associating protein 1","Other"
17222,"Q96F83","Uncharacterized protein CLBA1","Other"
17223,"Q8IUN9","C-type lectin domain family 10 member A","Other"
17224,"Q9Y240","C-type lectin domain family 11 member A","Other"
17225,"Q6UVW9","C-type lectin domain family 2 member A","Other"
17226,"Q92478","C-type lectin domain family 2 member B","Other"
17227,"Q8TER5","Rho guanine nucleotide exchange factor 40","Other"
17228,"Q96CF2","Charged multivesicular body protein 4c","Other"
17229,"Q9H2X0","Chordin","Other"
17230,"Q86X52","Chondroitin sulfate synthase 1","Enzyme"
17231,"Q70JA7","Chondroitin sulfate synthase 3","Enzyme"
17232,"Q9Y4C5","Carbohydrate sulfotransferase 2","Enzyme"
17233,"Q7LGC8","Carbohydrate sulfotransferase 3","Enzyme"
17234,"Q8NCG5","Carbohydrate sulfotransferase 4","Enzyme"
17235,"O43529","Carbohydrate sulfotransferase 10","Enzyme"
17236,"Q8NCH0","Carbohydrate sulfotransferase 14","Enzyme"
17237,"Q9Y3Y2","Chromatin target of PRMT1 protein","Other"
17238,"Q9UBL0","cAMP-regulated phosphoprotein 21","Other"
17239,"P0C843","Putative uncharacterized protein encoded by LINC00032","Other"
17240,"Q9BUW7","UPF0184 protein C9orf16","Other"
17241,"P61160","Actin-related protein 2","Other"
17242,"Q8TAL5","Uncharacterized protein C9orf43","Other"
17243,"Q9H9F9","Actin-related protein 5","Other"
17244,"Q8N4C0","Putative uncharacterized protein C9orf62","Other"
17245,"Q9GZN1","Actin-related protein 6","Other"
17246,"Q8WZB0","Putative uncharacterized protein encoded by LINC00476","Other"
17247,"Q5VYM1","Uncharacterized protein C9orf131","Other"
17248,"Q9H981","Actin-related protein 8","Other"
17249,"Q5JTZ5","Uncharacterized protein C9orf152","Other"
17250,"Q5TBE3","Uncharacterized protein C9orf153","Other"
17251,"Q9H5X1","Cytosolic iron-sulfur assembly component 2A","Other"
17252,"Q9Y3D0","Cytosolic iron-sulfur assembly component 2B","Other"
17253,"Q8N5I2","Arrestin domain-containing protein 1","Other"
17254,"O76071","Probable cytosolic iron-sulfur protein assembly protein CIAO1","Other"
17255,"Q8NCT1","Arrestin domain-containing protein 4","Other"
17256,"Q9H6Q4","Cytosolic iron-sulfur assembly component 3","Other"
17257,"P10523","S-arrestin","Other"
17258,"O15145","Actin-related protein 2/3 complex subunit 3","Other"
17259,"P59998","Actin-related protein 2/3 complex subunit 4","Other"
17260,"O15511","Actin-related protein 2/3 complex subunit 5","Other"
17261,"Q5FYB1","Arylsulfatase I","Enzyme"
17262,"Q5T4W7","Artemin","Other"
17263,"Q9UHD4","Cell death activator CIDE-B","Other"
17264,"O00192","Armadillo repeat protein deleted in velo-cardio-facial syndrome","Other"
17265,"Q96QS3","Homeobox protein ARX","Transcription Factor"
17266,"Q9Y575","Ankyrin repeat and SOCS box protein 3","Other"
17267,"Q9ULH1","Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1","Other"
17268,"Q9H672","Ankyrin repeat and SOCS box protein 7","Other"
17269,"Q9H765","Ankyrin repeat and SOCS box protein 8","Other"
17270,"Q8TDY4","Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3","Other"
17271,"Q8WXK4","Ankyrin repeat and SOCS box protein 12","Other"
17272,"Q8WXK3","Ankyrin repeat and SOCS box protein 13","Other"
17273,"Q9Y5C1","Angiopoietin-related protein 3","Other"
17274,"A6NL99","Putative aquaporin-7-like protein 3","Other"
17275,"P05089","Arginase-1","Enzyme"
17276,"P56559","ADP-ribosylation factor-like protein 4C","Enzyme"
17277,"Q92974","Rho guanine nucleotide exchange factor 2","Other"
17278,"Q9NVJ2","ADP-ribosylation factor-like protein 8B","Enzyme"
17279,"Q14155","Rho guanine nucleotide exchange factor 7","Other"
17280,"Q9H2A9","Carbohydrate sulfotransferase 8","Enzyme"
17281,"Q7L1S5","Carbohydrate sulfotransferase 9","Enzyme"
17282,"Q9NRB3","Carbohydrate sulfotransferase 12","Enzyme"
17283,"Q7LFX5","Carbohydrate sulfotransferase 15","Enzyme"
17284,"Q8WUH1","Protein Churchill","Other"
17285,"Q96MD7","Uncharacterized protein C9orf85","Other"
17286,"A6NGG3","Putative uncharacterized protein C9orf92","Other"
17287,"Q8NAJ2","Putative uncharacterized protein C9orf106","Other"
17288,"Q5BN46","UPF0691 protein C9orf116","Other"
17289,"A6NHY6","Putative uncharacterized protein C9orf118","Other"
17290,"Q5T035","Putative uncharacterized protein C9orf129","Other"
17291,"Q5VTT2","Protein C9orf135","Other"
17292,"Q6ZV77","Uncharacterized protein C9orf139","Other"
17293,"Q8N9P6","Uncharacterized protein C9orf163","Other"
17294,"A2RU37","Uncharacterized protein C9orf170","Other"
17295,"Q9Y375","Complex I intermediate-associated protein 30, mitochondrial","Other"
17296,"Q8TBH0","Arrestin domain-containing protein 2","Other"
17297,"P15289","Arylsulfatase A","Enzyme"
17298,"O75838","Calcium and integrin-binding family member 2","Other"
17299,"Q96Q77","Calcium and integrin-binding family member 3","Other"
17300,"A0PJX0","Calcium and integrin-binding family member 4","Other"
17301,"P51690","Arylsulfatase E","Enzyme"
17302,"Q5FYA8","Arylsulfatase H","Enzyme"
17303,"O60543","Cell death activator CIDE-A","Other"
17304,"Q9H2C2","Protein ARV1","Other"
17305,"Q96AQ7","Cell death activator CIDE-3","Other"
17306,"Q9HBK9","Arsenite methyltransferase","Enzyme"
17307,"O75339","Cartilage intermediate layer protein 1","Other"
17308,"P18440","Arylamine N-acetyltransferase 1","Enzyme"
17309,"P11245","Arylamine N-acetyltransferase 2","Enzyme"
17310,"Q13510","Acid ceramidase","Enzyme"
17311,"Q9Y574","Ankyrin repeat and SOCS box protein 4","Other"
17312,"O43150","Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2","Other"
17313,"Q96DX5","Ankyrin repeat and SOCS box protein 9","Other"
17314,"Q8WXI3","Ankyrin repeat and SOCS box protein 10","Other"
17315,"Q9H1I8","Activating signal cointegrator 1 complex subunit 2","Other"
17316,"Q8N3C0","Activating signal cointegrator 1 complex subunit 3","Other"
17317,"P50553","Achaete-scute homolog 1","Transcription Factor"
17318,"Q9NQ33","Achaete-scute homolog 3","Transcription Factor"
17319,"Q6XD76","Achaete-scute homolog 4","Transcription Factor"
17320,"Q9ULZ3","Apoptosis-associated speck-like protein containing a CARD","Other"
17321,"Q9BW66","Cyclin-dependent kinase 2-interacting protein","Enzyme"
17322,"Q15642","Cdc42-interacting protein 4","Other"
17323,"Q9Y576","Ankyrin repeat and SOCS box protein 1","Other"
17324,"Q9C0C6","CLOCK-interacting pacemaker","Other"
17325,"Q96Q27","Ankyrin repeat and SOCS box protein 2","Other"
17326,"O95996","Adenomatous polyposis coli protein 2","Other"
17327,"Q8IW19","Aprataxin and PNK-like factor","Other"
17328,"O00203","AP-3 complex subunit beta-1","Other"
17329,"O14727","Apoptotic protease-activating factor 1","Enzyme"
17330,"P06727","Apolipoprotein A-IV","Other"
17331,"Q13794","Phorbol-12-myristate-13-acetate-induced protein 1","Other"
17332,"Q8N6S5","ADP-ribosylation factor-like protein 6-interacting protein 6","Other"
17333,"Q8IWT0","Protein archease","Enzyme"
17334,"P25098","Beta-adrenergic receptor kinase 1","Kinase"
17335,"Q7LC44","Activity-regulated cytoskeleton-associated protein","Other"
17336,"P62330","ADP-ribosylation factor 6","Enzyme"
17337,"P18085","ADP-ribosylation factor 4","Enzyme"
17338,"A6NJG6","Arginine-fifty homeobox","Transcription Factor"
17339,"Q9HCE6","Rho guanine nucleotide exchange factor 10-like protein","Other"
17340,"Q9NXL2","Rho guanine nucleotide exchange factor 38","Other"
17341,"P06276","Cholinesterase","Enzyme"
